5Time,P1,P2,P3,P4,S1,S2,S3
2546,0,0,0,1,0,0,44
52812,0,0,0,0,0,0,44
53078,0,0,0,0,0,0,44
53342,0,0,0,0,0,0,12
53608,0,0,0,0,0,0,44
53874,0,0,0,0,0,0,44
54140,0,0,0,0,0,0,45
54406,0,1,0,0,0,0,45
54672,0,1,0,0,0,0,45
54938,0,0,0,0,0,0,45
55204,0,0,0,0,0,0,44
55470,0,0,0,0,0,0,45
55736,0,0,0,0,0,0,45
56002,0,0,0,0,0,0,45
56268,0,0,0,0,0,0,45
56534,0,0,0,0,0,0,44
56800,0,0,1,0,0,0,44
57066,0,0,1,0,0,0,45
57332,0,0,1,0,0,0,44
57598,0,0,0,0,0,0,44
57864,0,0,0,0,0,0,45
58130,0,0,0,0,0,0,45
58396,0,0,0,0,0,0,44
58662,0,0,0,0,0,0,52
58929,0,0,0,0,0,0,45
59195,0,0,0,0,0,0,44
59461,0,0,0,0,0,0,45
59727,0,0,0,0,0,0,44
59993,0,0,0,0,0,0,45
60259,0,0,1,1,0,0,44
60525,1,1,1,1,0,0,45
60791,1,1,0,1,0,0,44
61057,1,1,0,1,0,0,44
61323,0,1,0,1,0,0,45
61589,0,1,0,1,0,0,45
61855,0,1,0,1,0,0,44
62134,0,1,0,1,0,0,0
62431,0,1,0,0,0,33,0
62711,0,1,0,0,0,0,0
62978,0,1,0,0,0,0,44
63244,0,0,0,0,0,0,45
63510,0,0,0,0,0,0,44
63776,0,0,1,0,0,0,45
64042,1,0,1,0,0,0,45
64309,1,0,0,0,0,0,45
64575,1,0,0,0,0,0,46
64841,0,0,0,0,0,0,46
65105,0,0,0,0,0,0,12
65372,0,0,0,0,0,0,44
65638,0,0,0,0,0,0,44
65904,0,0,0,1,0,0,44
66170,0,0,0,1,0,0,44
66436,0,0,0,1,0,0,45
66702,0,1,0,0,0,0,45
66969,0,1,0,0,0,0,46
67235,0,0,0,0,0,0,45
67502,0,0,0,0,0,0,45
67768,0,0,1,0,0,0,45
68034,0,0,1,0,0,0,44
68300,1,0,1,0,0,0,45
68566,1,0,0,0,0,0,45
68833,1,0,0,0,0,0,44
69097,1,0,0,0,0,0,12
69364,1,0,0,0,0,0,44
69630,1,1,0,0,0,0,45
69896,1,1,0,0,0,0,44
70162,0,1,0,0,0,0,46
70429,0,1,0,0,0,0,51
70696,0,1,0,0,0,0,45
70962,0,1,0,0,0,0,45
71228,0,0,0,0,0,0,44
71494,0,0,0,0,0,0,46
71760,0,0,0,1,0,0,46
72026,0,0,1,1,0,0,45
72305,1,0,1,1,0,0,0
72572,1,0,1,0,0,0,43
72838,1,0,1,0,0,0,44
73104,1,0,1,0,0,0,44
73370,1,0,0,0,0,0,45
73636,0,0,0,0,0,0,44
73902,0,0,0,0,0,0,44
74168,0,1,0,0,0,0,44
74433,0,1,0,0,0,0,12
74699,0,0,0,0,0,0,45
74965,0,0,0,1,0,0,43
75231,0,0,0,1,0,0,44
75497,0,0,1,1,0,0,45
75763,0,0,1,1,0,0,43
76029,0,0,1,1,0,0,44
76295,0,0,1,1,0,0,44
76561,1,0,0,0,0,0,44
76828,1,0,0,0,0,0,44
77095,1,0,0,0,0,0,44
77361,0,0,0,0,0,0,44
77627,0,0,0,0,0,0,44
77893,0,0,0,0,0,0,45
78159,0,0,0,0,0,0,44
78425,0,1,0,0,0,0,44
78691,0,1,0,0,0,0,45
78957,0,0,0,0,0,0,45
79223,0,0,0,0,0,0,45
79489,0,0,0,1,0,0,44
79755,1,0,1,1,0,0,45
80021,1,0,1,1,0,0,45
80287,1,0,1,1,0,0,43
80553,1,0,1,0,0,0,45
80819,0,0,1,0,0,0,44
81085,0,0,1,0,0,0,44
81351,0,0,0,0,0,0,44
81617,0,0,0,0,0,0,43
81883,0,1,0,0,0,0,44
82149,0,1,0,0,0,0,44
82415,0,1,0,0,0,0,44
82681,0,0,0,0,0,0,47
82947,0,0,0,0,0,0,44
83213,1,0,0,0,0,0,43
83479,1,0,0,0,0,0,44
83745,1,0,0,0,0,0,44
84011,1,0,1,0,0,0,44
84277,1,0,1,1,0,0,51
84544,0,0,0,1,0,0,43
84810,0,0,0,0,0,0,43
85074,0,0,0,0,0,0,12
85340,0,0,0,0,0,0,53
85607,0,1,0,0,0,0,44
85873,0,1,0,0,0,0,51
86140,0,1,0,0,0,0,43
86406,0,0,0,0,0,0,44
86672,0,0,0,0,0,0,45
86938,0,0,0,0,0,0,44
87204,1,0,0,0,0,0,46
87470,1,0,0,1,0,0,43
87736,1,0,1,1,0,0,44
88002,1,0,1,1,0,0,43
88268,1,0,1,0,0,0,43
88534,0,0,0,0,0,0,42
88793,0,0,0,0,0,0,77
89052,0,0,0,0,0,0,78
89311,0,0,0,0,0,0,77
89577,0,0,0,0,0,0,42
89843,0,0,0,0,0,0,42
90109,0,1,0,0,0,0,42
90368,0,1,0,0,0,0,79
90634,0,1,0,0,0,0,43
90900,0,0,0,0,0,0,43
91166,0,0,1,0,0,0,43
91432,1,0,1,1,0,0,43
91698,1,0,1,1,0,0,43
91964,0,0,1,1,0,0,44
92230,0,0,0,0,0,0,43
92496,0,0,0,0,0,0,45
92762,0,0,0,0,0,0,43
93028,0,0,0,0,0,0,47
93294,0,0,0,0,0,0,43
93560,0,1,0,0,0,0,44
93826,0,1,0,0,0,0,43
94092,0,1,0,0,0,0,45
94358,0,0,0,0,0,0,43
94624,0,0,1,1,0,0,43
94890,1,0,1,1,0,0,43
95156,1,0,1,1,0,0,44
95422,0,0,1,1,0,0,43
95688,0,0,1,1,0,0,44
95954,0,0,0,1,0,0,43
96220,0,0,0,1,0,0,44
96486,0,0,0,1,0,0,43
96752,0,0,0,0,0,0,43
97018,0,0,0,0,0,0,44
97284,0,0,0,0,0,0,43
97550,0,0,0,0,0,0,43
97816,1,0,0,0,0,0,43
98082,1,1,0,0,0,0,43
98348,0,1,0,0,0,0,43
98614,0,0,0,0,0,0,44
98880,0,0,0,0,0,0,44
99146,0,0,0,0,0,0,43
99412,0,0,0,1,0,0,43
99678,0,0,1,1,0,0,46
99944,0,0,1,0,0,0,43
100210,0,0,0,0,0,0,44
100476,0,0,0,0,0,0,43
100742,0,0,0,0,0,0,43
101008,1,0,0,0,0,0,43
101274,1,0,0,0,0,0,43
101540,0,0,0,0,0,0,42
101804,0,0,0,0,0,0,13
102071,0,0,0,0,0,0,42
102337,0,1,0,1,0,0,44
102603,0,1,0,1,0,0,45
102870,0,0,0,1,0,0,43
103136,0,0,0,1,0,0,43
103402,0,0,0,0,0,0,46
103668,0,0,0,0,0,0,43
103934,1,0,0,0,0,0,43
104200,1,0,1,0,0,0,45
104466,1,0,1,0,0,0,44
104733,0,0,1,0,0,0,45
104999,0,0,0,0,0,0,43
105265,0,0,0,0,0,0,44
105531,0,0,0,0,0,0,42
105797,0,1,0,0,0,0,43
106063,0,1,0,0,0,0,44
106329,0,0,0,0,0,0,43
106595,0,0,0,0,0,0,44
106861,0,0,0,1,0,0,43
107127,0,0,0,1,0,0,43
