Time,P1,P2,P3,P4,S1,S2,S3
745085,0,0,0,1,0,0,43
745351,0,0,0,1,0,0,43
745617,0,1,0,0,0,0,44
745881,0,1,0,0,0,0,12
746145,0,0,0,0,0,0,12
746411,0,0,0,0,0,0,44
746677,1,0,0,0,0,0,43
746943,1,0,0,0,0,0,42
747209,0,0,0,0,0,0,43
747475,0,0,0,0,0,0,43
747741,0,0,0,0,0,0,44
748007,0,0,1,1,0,0,43
748273,0,0,1,1,0,0,43
748539,0,1,1,1,0,0,43
748805,0,1,0,0,0,0,44
749071,0,0,0,0,0,0,43
749337,0,0,0,0,0,0,43
749603,0,0,0,0,0,0,44
749869,1,0,0,0,0,0,45
750136,1,0,0,0,0,0,57
750400,1,0,0,0,0,0,11
750668,0,0,0,0,0,0,57
750932,0,0,1,1,0,0,13
751197,0,0,1,1,0,0,12
751463,0,0,0,1,0,0,43
751729,0,0,0,0,0,0,44
751995,0,0,0,0,0,0,45
752261,0,0,0,0,0,0,44
752527,0,0,0,0,0,0,45
752793,0,0,0,0,0,0,43
753059,0,0,0,0,0,0,44
753325,0,1,0,0,0,0,44
753591,0,1,0,0,0,0,50
753858,1,1,1,0,0,0,43
754124,1,1,1,0,0,0,44
754390,0,0,0,0,0,0,43
754656,0,0,0,0,0,0,43
754922,0,0,0,0,0,0,43
755188,0,0,0,0,0,0,43
755454,0,0,0,0,0,0,49
755721,0,0,0,0,0,0,44
755987,0,0,0,0,0,0,49
756254,0,0,0,0,0,0,43
756520,0,1,0,0,0,0,43
756786,0,1,1,0,0,0,48
757053,0,0,1,0,0,0,43
757319,1,0,1,0,0,0,44
757586,1,0,1,0,0,0,43
757852,1,0,1,0,0,0,44
758118,0,0,1,0,0,0,49
758385,0,0,0,0,0,0,48
758652,0,0,0,0,0,0,43
758918,0,0,0,0,0,0,43
759184,0,0,0,0,0,0,48
759451,0,0,0,0,0,0,44
759718,0,0,0,0,0,0,44
759985,0,0,0,0,0,0,44
760251,0,0,0,0,0,0,44
760517,0,0,0,0,0,0,44
760783,0,0,0,0,0,0,44
761049,0,0,0,0,0,0,44
761316,0,0,0,0,0,0,44
761582,0,0,0,0,0,0,44
761848,0,0,0,0,0,0,44
762114,0,0,0,0,0,0,43
762380,0,0,0,0,0,0,43
762646,0,0,0,0,0,0,43
762912,0,0,0,0,0,0,43
763178,0,0,0,0,0,0,44
763444,0,0,0,0,0,0,49
763711,0,0,0,0,0,0,43
763977,0,0,0,0,0,0,49
764244,0,0,0,0,0,0,44
764511,0,0,0,0,0,0,43
764777,0,0,0,0,0,0,44
765043,0,0,0,0,0,0,43
765310,0,0,0,0,0,0,44
765576,0,0,0,0,0,0,43
765843,0,0,0,0,0,0,43
766109,0,0,0,0,0,0,44
766376,0,0,0,0,0,0,43
766642,0,0,0,0,0,0,44
766908,0,0,0,0,0,0,43
767174,0,0,0,0,0,0,43
767441,0,0,0,0,0,0,43
767707,0,0,0,0,0,0,43
767974,0,0,0,0,0,0,44
768240,0,0,0,0,0,0,43
768506,0,0,0,0,0,0,42
768772,0,0,0,0,0,0,43
769038,0,0,0,0,0,0,44
769304,0,0,0,0,0,0,43
769570,0,0,0,0,0,0,42
769836,0,0,0,0,0,0,44
770102,0,0,0,0,0,0,43
770368,0,0,0,0,0,0,44
770634,0,0,0,0,0,0,43
770900,0,0,0,0,0,0,44
771166,0,0,0,0,0,0,44
771432,0,0,0,0,0,0,44
771698,0,0,0,0,0,0,43
771964,0,0,0,0,0,0,43
772230,0,0,0,0,0,0,43
772496,0,0,0,0,0,0,43
772762,0,0,0,0,0,0,43
773028,0,0,0,0,0,0,44
773294,0,0,0,0,0,0,44
773560,0,0,0,0,0,0,45
773826,0,0,0,0,0,0,43
774092,0,0,0,0,0,0,43
774358,0,0,0,0,0,0,42
774624,0,0,0,0,0,0,42
774892,0,0,0,0,0,31,43
775158,0,0,0,0,0,0,44
775424,0,0,0,0,0,0,43
775690,0,0,0,0,0,0,44
775956,0,0,0,0,0,0,43
776222,0,0,0,0,0,0,46
776488,0,0,0,0,0,0,44
776754,0,0,0,0,0,0,43
777020,0,0,0,0,0,0,43
777286,0,0,0,0,0,0,43
777552,0,0,0,0,0,0,43
777818,0,0,0,0,0,0,43
778084,0,0,0,0,0,0,43
778350,0,0,0,0,0,0,44
778616,0,0,0,0,0,0,43
778882,0,0,0,0,0,0,43
779148,0,0,0,0,0,0,50
779415,0,0,0,0,0,0,43
779681,0,0,0,0,0,0,44
779947,0,0,0,0,0,0,44
780213,0,0,0,0,0,0,43
780479,0,0,0,0,0,0,44
780745,0,0,0,0,0,0,44
781011,0,0,0,0,0,0,43
781277,0,0,0,0,0,0,43
781543,0,0,0,0,0,0,43
781809,0,0,0,0,0,0,43
782075,0,0,0,0,0,0,43
782341,0,0,0,0,0,0,43
782607,0,0,0,0,0,0,43
782873,0,0,0,0,0,0,44
783139,0,0,0,0,0,0,43
783405,0,0,0,0,0,0,44
783671,0,0,0,0,0,0,43
783937,0,0,0,0,0,0,49
784204,0,0,0,0,0,0,43
784470,0,0,0,0,0,0,43
784736,0,0,0,0,0,0,44
785002,0,0,0,0,0,0,48
785269,0,0,0,0,0,0,43
785535,0,0,0,0,0,0,43
785801,0,0,0,0,0,0,43
786067,0,0,0,0,0,0,42
786333,0,0,0,0,0,0,42
786599,0,0,0,0,0,0,42
786865,0,0,0,0,0,0,43
787131,0,0,0,0,0,0,42
787397,0,0,0,0,0,0,44
787663,0,0,0,0,0,0,43
787929,0,0,0,0,0,0,44
788196,0,0,0,0,0,0,43
788462,0,0,0,0,0,0,42
788728,0,0,0,0,0,0,44
788994,0,0,0,0,0,0,43
789260,0,0,0,0,0,0,44
789526,0,0,0,0,0,0,44
789792,0,0,0,0,0,0,43
790058,0,0,0,0,0,0,43
790324,0,0,0,0,0,0,44
790591,0,0,0,0,0,0,43
790857,0,0,0,0,0,0,43
791123,0,0,0,0,0,0,45
791390,0,0,0,0,0,0,44
791656,0,0,0,0,0,0,43
791923,0,0,0,0,0,0,44
792189,0,0,0,0,0,0,43
792455,0,0,0,0,0,0,43
792721,0,0,0,0,0,0,43
792987,0,0,0,0,0,0,43
793253,0,0,0,0,0,0,44
793520,0,0,0,0,0,0,43
793786,0,0,0,0,0,0,44
794052,0,0,0,0,0,0,43
794319,0,0,0,0,0,0,49
794588,0,0,0,0,0,32,43
794855,0,0,0,0,0,0,43
795121,0,0,0,0,0,0,44
795387,0,0,0,0,0,0,43
795653,0,0,0,0,0,0,44
795919,0,0,0,0,0,0,43
796185,0,0,0,0,0,0,44
796451,0,0,0,0,0,0,52
796718,0,0,0,0,0,0,43
796984,0,0,0,0,0,0,43
797250,0,0,0,0,0,0,42
797516,0,0,0,0,0,0,43
797782,0,0,0,0,0,0,43
798048,0,0,0,0,0,0,44
798314,0,0,0,0,0,0,43
798580,0,0,0,0,0,0,43
798846,0,0,0,0,0,0,44
799112,0,0,0,0,0,0,43
799378,0,0,0,0,0,0,42
799644,0,0,0,0,0,0,43
799910,0,0,0,0,0,0,44
800176,0,0,0,0,0,0,44
800442,0,0,0,0,0,0,44
800708,0,0,0,0,0,0,43
800974,0,0,0,0,0,0,44
801240,0,0,0,0,0,0,49
801507,0,0,0,0,0,0,43
801773,0,0,0,0,0,0,43
802039,0,0,0,0,0,0,43
802305,0,0,0,0,0,0,44
802571,0,0,0,0,0,0,43
802837,0,0,0,0,0,0,43
803103,0,0,0,0,0,0,43
803369,0,0,0,0,0,0,43
803635,0,0,0,0,0,0,44
803902,0,0,0,0,0,0,43
804166,0,0,0,0,0,0,11
804432,0,0,0,0,0,0,42
804698,0,0,0,0,0,0,49
804965,0,0,0,0,0,0,43
805231,0,0,0,0,0,0,44
805497,0,0,0,0,0,0,43
805763,0,0,0,0,0,0,44
806029,0,0,0,0,0,0,44
806295,0,0,0,0,0,0,43
806561,0,0,0,0,0,0,43
806827,0,0,0,0,0,0,44
807093,0,0,0,0,0,0,44
807359,0,0,0,0,0,0,44
807625,0,0,0,0,0,0,44
807891,0,0,0,0,0,0,42
808157,0,0,0,0,0,0,44
808424,0,0,0,0,0,0,44
808690,0,0,0,0,0,0,43
808956,0,0,0,0,0,0,43
809222,0,0,0,0,0,0,44
809488,0,0,0,0,0,0,43
809754,0,0,0,0,0,0,43
810020,0,0,0,0,0,0,43
810287,0,0,0,0,0,0,43
810553,0,0,0,0,0,0,44
810820,0,0,0,0,0,0,44
811086,0,0,0,0,0,0,43
811352,0,0,0,0,0,0,44
811618,0,0,0,0,0,0,43
811884,0,0,0,0,0,0,42
812150,0,0,0,0,0,0,43
812416,0,0,0,0,0,0,43
812682,0,0,0,0,0,0,43
812948,0,0,0,0,0,0,43
813214,0,0,0,0,0,0,43
813480,0,0,0,0,0,0,44
813746,0,0,0,0,0,0,43
814012,0,0,0,0,0,0,43
814278,0,0,0,0,0,0,44
814544,0,0,0,0,0,0,43
814810,0,0,0,0,0,0,43
815076,0,0,0,0,0,0,43
815342,0,0,0,0,0,0,43
815608,0,0,0,0,0,0,43
815874,0,0,0,0,0,0,43
816140,0,0,0,0,0,0,42
816406,0,0,0,0,0,0,42
816672,0,0,0,0,0,0,43
816938,0,0,0,0,0,0,44
817204,0,0,0,0,0,0,43
817470,0,0,0,0,0,0,42
817736,0,0,0,0,0,0,43
818003,0,0,0,0,0,0,43
818270,0,0,0,0,0,0,43
818536,0,0,0,0,0,0,43
818802,0,0,0,0,0,0,42
819068,0,0,0,0,0,0,44
819335,0,0,0,0,0,0,43
819602,0,0,0,0,0,0,43
819868,0,0,0,0,0,0,43
820134,0,0,0,0,0,0,42
820400,0,0,0,0,0,0,48
820667,0,0,0,0,0,0,43
820933,0,0,0,0,0,0,43
821199,0,0,0,0,0,0,44
821465,0,0,0,0,0,0,43
821731,0,0,0,0,0,0,44
821997,0,0,0,0,0,0,43
822263,0,0,0,0,0,0,43
822529,0,0,0,0,0,0,44
822795,0,0,0,0,0,0,43
823061,0,0,0,0,0,0,43
823327,0,0,0,0,0,0,43
823593,0,0,0,0,0,0,45
823859,0,0,0,0,0,0,43
824125,0,0,0,0,0,0,44
824391,0,0,0,0,0,0,43
824657,0,0,0,0,0,0,44
824923,0,0,0,0,0,0,43
825189,0,0,0,0,0,0,43
825455,0,0,0,0,0,0,44
825721,0,0,0,0,0,0,43
825987,0,0,0,0,0,0,50
826254,0,0,0,0,0,0,43
826520,0,0,0,0,0,0,45
826786,0,0,0,0,0,0,43
827052,0,0,0,0,0,0,44
827318,0,0,0,0,0,0,43
827584,0,0,0,0,0,0,43
827850,0,0,0,0,0,0,43
828116,0,0,0,0,0,0,43
828382,0,0,0,0,0,0,43
828648,0,0,0,0,0,0,44
828914,0,0,0,0,0,0,43
829180,0,0,0,0,0,0,43
829446,0,0,0,0,0,0,43
829712,0,0,0,0,0,0,43
829978,0,0,0,0,0,0,43
830244,0,0,0,0,0,0,44
830510,0,0,0,0,0,0,48
830777,0,0,0,0,0,0,43
