Time,P1,P2,P3,P4,S1,S2,S3
2432105,0,0,0,1,0,0,0
2432385,0,0,0,0,0,0,0
2432665,0,0,0,0,0,0,0
2432945,0,0,0,0,0,0,0
2433225,0,0,0,0,0,0,0
2433490,0,0,0,0,0,0,0
2433754,0,0,0,0,0,0,0
2434019,0,1,0,0,0,0,0
2434299,0,1,0,0,0,0,0
2434579,0,1,0,0,0,0,0
2434859,1,0,1,1,0,0,0
2435139,1,0,1,1,0,0,0
2435421,1,0,0,1,0,31,0
2435686,0,0,0,0,0,0,0
2435966,0,0,0,0,0,0,0
2436231,0,0,0,0,0,0,0
2436513,0,0,0,0,0,31,0
2436778,0,0,0,0,0,0,0
2437043,0,0,0,0,0,0,0
2437308,0,0,0,0,0,0,0
2437573,0,0,0,0,0,0,0
2437838,0,0,0,0,0,0,0
2438102,0,0,1,0,0,0,0
2438366,1,1,1,0,0,0,0
2438630,1,1,1,1,0,0,0
2438895,1,0,1,1,0,0,0
2439159,0,0,0,1,0,0,0
2439424,0,0,0,0,0,0,0
2439688,0,0,0,0,0,0,0
2439952,0,0,0,0,0,0,0
2440217,0,0,0,0,0,0,0
2440482,0,0,0,0,0,0,0
2440761,0,0,0,0,0,0,0
2441041,0,0,0,0,0,0,0
2441306,0,0,0,0,0,0,0
2441586,0,1,0,0,0,0,0
2441866,0,1,0,0,0,0,0
2442146,1,1,0,0,0,0,0
2442426,1,0,1,0,0,0,0
2442706,0,0,1,0,0,0,0
2442986,0,0,1,0,0,0,0
2443266,0,0,1,1,0,0,0
2443546,0,0,1,1,0,0,0
2443802,0,0,0,0,106,0,52
2444089,0,0,0,0,127,0,0
2444364,0,0,0,0,125,31,0
2444644,0,0,0,0,0,0,0
2444924,1,1,0,0,0,0,0
2445189,1,1,0,0,0,0,0
2445468,1,1,0,0,0,0,0
2445733,0,1,0,0,0,0,0
2446013,0,0,0,0,0,0,0
2446293,0,0,1,0,0,0,0
2446573,0,0,1,0,0,0,0
2446853,0,0,1,1,0,0,0
2447133,0,0,0,1,0,0,0
2447413,0,0,0,1,0,0,0
2447693,0,0,0,1,0,0,0
2447961,1,0,0,1,0,0,55
2448234,1,0,0,1,124,0,0
2448508,1,0,0,1,128,31,0
2448794,1,0,0,1,149,0,0
2449074,1,0,0,1,0,0,0
2449354,1,0,0,1,0,0,0
2449619,1,1,0,0,0,0,0
2449884,1,1,1,0,0,0,0
2450163,0,1,1,0,0,0,0
2450428,0,0,1,0,0,0,0
2450693,0,0,1,0,0,0,0
2450973,0,0,0,0,0,0,0
2451238,0,0,0,0,0,0,0
2451502,0,0,0,0,0,0,0
2451782,0,0,0,0,0,0,0
2452047,0,0,0,0,0,0,0
2452326,0,0,0,0,0,0,0
2452606,0,0,0,1,0,0,0
2452873,0,1,0,1,113,111,0
2453146,0,1,1,1,120,0,0
2453402,1,1,1,1,130,32,51
2453659,1,1,1,1,132,0,0
2453938,1,0,0,1,0,0,0
2454218,1,0,0,1,0,0,0
2454498,1,0,0,0,0,0,0
2454778,1,0,0,0,0,0,0
2455058,1,0,0,0,0,0,0
2455338,1,0,0,0,0,0,0
2455603,1,0,0,0,0,0,0
