TS(ms): 52546 | PIR: 0,0,0,1 | US(cm): 211,211,246 | Delta(cm): 0,0,44
TS(ms): 52812 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 53078 | PIR: 0,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 53342 | PIR: 0,0,0,0 | US(cm): 209,213,214 | Delta(cm): 0,0,12
TS(ms): 53608 | PIR: 0,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,44
TS(ms): 53874 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 54140 | PIR: 0,0,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,45
TS(ms): 54406 | PIR: 0,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 54672 | PIR: 0,1,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 54938 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 55204 | PIR: 0,0,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 55470 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 55736 | PIR: 0,0,0,0 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 56002 | PIR: 0,0,0,0 | US(cm): 210,212,247 | Delta(cm): 0,0,45
TS(ms): 56268 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 56534 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 56800 | PIR: 0,0,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 57066 | PIR: 0,0,1,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 57332 | PIR: 0,0,1,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 57598 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,44
TS(ms): 57864 | PIR: 0,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 58130 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 58396 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 58662 | PIR: 0,0,0,0 | US(cm): 209,211,254 | Delta(cm): 0,0,52
TS(ms): 58929 | PIR: 0,0,0,0 | US(cm): 210,210,247 | Delta(cm): 0,0,45
TS(ms): 59195 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,44
TS(ms): 59461 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 59727 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,44
TS(ms): 59993 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 60259 | PIR: 0,0,1,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 60525 | PIR: 1,1,1,1 | US(cm): 210,211,247 | Delta(cm): 0,0,45
TS(ms): 60791 | PIR: 1,1,0,1 | US(cm): 210,210,246 | Delta(cm): 0,0,44
TS(ms): 61057 | PIR: 1,1,0,1 | US(cm): 209,210,246 | Delta(cm): 0,0,44
TS(ms): 61323 | PIR: 0,1,0,1 | US(cm): 209,211,247 | Delta(cm): 0,0,45
TS(ms): 61589 | PIR: 0,1,0,1 | US(cm): 209,210,247 | Delta(cm): 0,0,45
TS(ms): 61855 | PIR: 0,1,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,44
TS(ms): 62134 | PIR: 0,1,0,1 | US(cm): 210,211,-1 | Delta(cm): 0,0,0
TS(ms): 62431 | PIR: 0,1,0,0 | US(cm): -1,244,-1 | Delta(cm): 0,33,0
TS(ms): 62711 | PIR: 0,1,0,0 | US(cm): 209,211,-1 | Delta(cm): 0,0,0
TS(ms): 62978 | PIR: 0,1,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,44
TS(ms): 63244 | PIR: 0,0,0,0 | US(cm): 210,212,247 | Delta(cm): 0,0,45
