TS(ms): 388234 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 388500 | PIR: 0,0,0,0 | US(cm): 210,210,247 | Delta(cm): 0,0,44
TS(ms): 388766 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 389032 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 389298 | PIR: 1,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 389564 | PIR: 1,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 389830 | PIR: 1,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 390096 | PIR: 0,1,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 390362 | PIR: 0,1,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 390628 | PIR: 0,1,1,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 390894 | PIR: 0,1,1,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 391160 | PIR: 0,0,1,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 391426 | PIR: 0,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 391692 | PIR: 0,0,1,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 391958 | PIR: 0,0,1,1 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 392224 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 392490 | PIR: 0,0,0,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 392756 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 393022 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 393288 | PIR: 1,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 393554 | PIR: 1,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 393820 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 394083 | PIR: 0,0,0,0 | US(cm): 161,211,245 | Delta(cm): 48,0,42
TS(ms): 394366 | PIR: 0,0,1,0 | US(cm): -1,243,247 | Delta(cm): 0,32,44
TS(ms): 394662 | PIR: 0,0,1,0 | US(cm): -1,243,-1 | Delta(cm): 0,32,0
TS(ms): 394922 | PIR: 0,1,1,1 | US(cm): 144,211,199 | Delta(cm): 65,0,0
TS(ms): 395184 | PIR: 0,1,1,1 | US(cm): 153,212,214 | Delta(cm): 56,0,11
TS(ms): 395464 | PIR: 0,0,1,1 | US(cm): 209,212,-1 | Delta(cm): 0,0,0
TS(ms): 395731 | PIR: 0,0,1,1 | US(cm): 211,213,246 | Delta(cm): 0,0,43
TS(ms): 395998 | PIR: 0,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 396264 | PIR: 0,0,0,0 | US(cm): 209,211,247 | Delta(cm): 0,0,44
TS(ms): 396530 | PIR: 0,0,0,0 | US(cm): 211,212,246 | Delta(cm): 0,0,43
TS(ms): 396796 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 397061 | PIR: 1,0,0,0 | US(cm): 209,211,214 | Delta(cm): 0,0,11
TS(ms): 397327 | PIR: 1,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 397593 | PIR: 1,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 397856 | PIR: 1,0,0,0 | US(cm): 209,217,205 | Delta(cm): 0,0,0
TS(ms): 398134 | PIR: 1,0,0,1 | US(cm): 146,245,-1 | Delta(cm): 63,34,0
TS(ms): 398431 | PIR: 0,0,0,1 | US(cm): -1,243,-1 | Delta(cm): 0,32,0
TS(ms): 398692 | PIR: 0,1,0,1 | US(cm): 137,211,213 | Delta(cm): 72,0,0
TS(ms): 398958 | PIR: 0,1,1,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 399224 | PIR: 0,1,1,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 399490 | PIR: 0,1,1,0 | US(cm): 209,212,247 | Delta(cm): 0,0,44
TS(ms): 399756 | PIR: 0,0,1,0 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 400022 | PIR: 0,0,1,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 400288 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 400554 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 400820 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 401086 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 401352 | PIR: 0,0,0,1 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 401618 | PIR: 1,0,0,1 | US(cm): 211,212,246 | Delta(cm): 0,0,43
TS(ms): 401884 | PIR: 1,0,0,1 | US(cm): 211,211,246 | Delta(cm): 0,0,43
TS(ms): 402150 | PIR: 1,0,0,0 | US(cm): 209,210,247 | Delta(cm): 0,0,44
TS(ms): 402416 | PIR: 0,0,1,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 402682 | PIR: 0,0,1,0 | US(cm): 211,210,247 | Delta(cm): 0,0,44
TS(ms): 402946 | PIR: 0,0,0,0 | US(cm): 210,211,213 | Delta(cm): 0,0,0
TS(ms): 403224 | PIR: 0,0,0,0 | US(cm): 154,-1,246 | Delta(cm): 55,0,43
TS(ms): 403503 | PIR: 0,1,0,0 | US(cm): 212,212,-1 | Delta(cm): 0,0,0
TS(ms): 403768 | PIR: 0,1,0,0 | US(cm): 210,210,213 | Delta(cm): 0,0,0
TS(ms): 404034 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 404300 | PIR: 0,0,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 404566 | PIR: 0,0,0,1 | US(cm): 210,211,252 | Delta(cm): 0,0,49
TS(ms): 404833 | PIR: 0,0,0,1 | US(cm): 208,211,247 | Delta(cm): 0,0,44
