TS(ms): 844376 | PIR: 1,0,0,0 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 844656 | PIR: 1,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 844936 | PIR: 1,1,1,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 845201 | PIR: 1,1,1,1 | US(cm): 203,216,216 | Delta(cm): 0,0,0
TS(ms): 845481 | PIR: 1,1,1,1 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 845761 | PIR: 1,1,1,1 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 846041 | PIR: 0,0,1,1 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 846321 | PIR: 0,0,1,1 | US(cm): 202,211,-1 | Delta(cm): 0,0,0
TS(ms): 846601 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 846881 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 847161 | PIR: 0,0,0,0 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 847441 | PIR: 0,0,0,0 | US(cm): 202,210,-1 | Delta(cm): 0,0,0
TS(ms): 847721 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 848001 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 848281 | PIR: 0,0,0,0 | US(cm): 204,209,-1 | Delta(cm): 0,0,0
TS(ms): 848561 | PIR: 0,1,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 848841 | PIR: 1,1,1,1 | US(cm): 201,209,-1 | Delta(cm): 0,0,0
TS(ms): 849121 | PIR: 1,1,1,1 | US(cm): 204,210,-1 | Delta(cm): 0,0,0
TS(ms): 849401 | PIR: 1,1,1,1 | US(cm): 202,218,-1 | Delta(cm): 0,0,0
TS(ms): 849681 | PIR: 1,1,1,1 | US(cm): 201,210,-1 | Delta(cm): 0,0,0
TS(ms): 849961 | PIR: 0,1,1,1 | US(cm): 205,210,-1 | Delta(cm): 0,0,0
TS(ms): 850226 | PIR: 0,0,0,1 | US(cm): 204,209,215 | Delta(cm): 0,0,0
TS(ms): 850506 | PIR: 0,0,0,1 | US(cm): 203,216,-1 | Delta(cm): 0,0,0
TS(ms): 850771 | PIR: 0,0,0,1 | US(cm): 202,209,214 | Delta(cm): 0,0,0
TS(ms): 851035 | PIR: 0,0,0,1 | US(cm): 202,209,215 | Delta(cm): 0,0,0
TS(ms): 851314 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 851579 | PIR: 0,0,0,0 | US(cm): 202,210,214 | Delta(cm): 0,0,0
TS(ms): 851858 | PIR: 0,0,0,0 | US(cm): 203,210,-1 | Delta(cm): 0,0,0
TS(ms): 852138 | PIR: 0,0,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 852418 | PIR: 1,0,1,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 852683 | PIR: 1,0,1,0 | US(cm): 206,210,215 | Delta(cm): 0,0,0
TS(ms): 852963 | PIR: 1,1,1,0 | US(cm): 206,210,-1 | Delta(cm): 0,0,0
TS(ms): 853243 | PIR: 1,1,0,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 853523 | PIR: 0,0,0,0 | US(cm): 205,217,-1 | Delta(cm): 0,0,0
TS(ms): 853803 | PIR: 0,0,0,1 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 854068 | PIR: 0,0,0,1 | US(cm): 208,211,221 | Delta(cm): 0,0,0
TS(ms): 854333 | PIR: 0,0,0,0 | US(cm): 206,209,215 | Delta(cm): 0,0,0
TS(ms): 854612 | PIR: 0,0,0,0 | US(cm): 202,209,-1 | Delta(cm): 0,0,0
TS(ms): 854877 | PIR: 0,0,0,0 | US(cm): 205,210,218 | Delta(cm): 0,0,0
TS(ms): 855143 | PIR: 0,0,0,0 | US(cm): 202,209,223 | Delta(cm): 0,0,0
TS(ms): 855422 | PIR: 0,0,0,0 | US(cm): 206,210,-1 | Delta(cm): 0,0,0
TS(ms): 855687 | PIR: 0,1,0,0 | US(cm): 202,209,217 | Delta(cm): 0,0,0
TS(ms): 855952 | PIR: 1,1,0,0 | US(cm): 205,210,216 | Delta(cm): 0,0,0
TS(ms): 856232 | PIR: 1,1,0,0 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 856512 | PIR: 1,1,0,0 | US(cm): 206,209,-1 | Delta(cm): 0,0,0
TS(ms): 856792 | PIR: 0,1,0,1 | US(cm): 207,209,-1 | Delta(cm): 0,0,0
TS(ms): 857072 | PIR: 0,1,0,1 | US(cm): 203,209,-1 | Delta(cm): 0,0,0
TS(ms): 857352 | PIR: 0,1,0,1 | US(cm): 205,209,-1 | Delta(cm): 0,0,0
TS(ms): 857617 | PIR: 0,0,0,1 | US(cm): 206,209,216 | Delta(cm): 0,0,0
TS(ms): 857882 | PIR: 0,0,0,1 | US(cm): 205,209,217 | Delta(cm): 0,0,0
TS(ms): 858162 | PIR: 0,0,0,0 | US(cm): 207,210,-1 | Delta(cm): 0,0,0
TS(ms): 858427 | PIR: 0,0,0,0 | US(cm): 208,211,215 | Delta(cm): 0,0,0
TS(ms): 858691 | PIR: 0,0,0,0 | US(cm): 206,209,216 | Delta(cm): 0,0,0
