TS(ms): 22358 | PIR: 0,1,0,1 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 22624 | PIR: 0,1,0,1 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 22890 | PIR: 0,1,0,1 | US(cm): 209,212,245 | Delta(cm): 0,0,42
TS(ms): 23156 | PIR: 0,1,0,0 | US(cm): 211,212,246 | Delta(cm): 0,0,43
TS(ms): 23422 | PIR: 0,1,0,0 | US(cm): 210,211,245 | Delta(cm): 0,0,42
TS(ms): 23688 | PIR: 0,1,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 23954 | PIR: 0,1,0,0 | US(cm): 210,212,245 | Delta(cm): 0,0,42
TS(ms): 24220 | PIR: 0,0,0,0 | US(cm): 210,210,252 | Delta(cm): 0,0,49
TS(ms): 24487 | PIR: 0,0,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 24753 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 25019 | PIR: 0,0,0,0 | US(cm): 209,210,248 | Delta(cm): 0,0,45
TS(ms): 25285 | PIR: 0,0,0,0 | US(cm): 210,212,246 | Delta(cm): 0,0,43
TS(ms): 25551 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 25817 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 26083 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 26349 | PIR: 0,0,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 26615 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 26881 | PIR: 0,0,0,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 27147 | PIR: 1,0,1,1 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 27413 | PIR: 1,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 27679 | PIR: 1,0,0,0 | US(cm): 209,218,246 | Delta(cm): 0,0,43
TS(ms): 27945 | PIR: 1,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 28211 | PIR: 1,0,0,0 | US(cm): 209,212,247 | Delta(cm): 0,0,44
TS(ms): 28478 | PIR: 0,1,0,0 | US(cm): 209,218,246 | Delta(cm): 0,0,43
TS(ms): 28744 | PIR: 0,1,0,0 | US(cm): 209,210,247 | Delta(cm): 0,0,44
TS(ms): 29011 | PIR: 0,1,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 29277 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 29543 | PIR: 0,1,0,0 | US(cm): 209,210,246 | Delta(cm): 0,0,43
TS(ms): 29809 | PIR: 0,1,0,0 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 30075 | PIR: 0,1,1,1 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 30341 | PIR: 0,0,1,1 | US(cm): 209,211,246 | Delta(cm): 0,0,43
TS(ms): 30607 | PIR: 0,0,1,1 | US(cm): 211,211,251 | Delta(cm): 0,0,48
TS(ms): 30874 | PIR: 0,0,0,0 | US(cm): 211,217,246 | Delta(cm): 0,0,43
TS(ms): 31140 | PIR: 0,0,0,0 | US(cm): 209,211,253 | Delta(cm): 0,0,50
TS(ms): 31407 | PIR: 0,0,0,0 | US(cm): 209,211,248 | Delta(cm): 0,0,45
TS(ms): 31674 | PIR: 0,0,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 31940 | PIR: 0,0,0,0 | US(cm): 210,210,245 | Delta(cm): 0,0,42
TS(ms): 32206 | PIR: 0,0,0,0 | US(cm): 211,212,246 | Delta(cm): 0,0,43
TS(ms): 32472 | PIR: 0,0,0,0 | US(cm): 209,211,245 | Delta(cm): 0,0,42
TS(ms): 32738 | PIR: 1,0,0,0 | US(cm): 209,212,245 | Delta(cm): 0,0,42
TS(ms): 33004 | PIR: 1,0,0,0 | US(cm): 210,211,252 | Delta(cm): 0,0,49
TS(ms): 33269 | PIR: 0,1,1,1 | US(cm): 209,211,213 | Delta(cm): 0,0,0
TS(ms): 33534 | PIR: 0,1,1,1 | US(cm): 210,212,214 | Delta(cm): 0,0,11
TS(ms): 33799 | PIR: 0,0,1,0 | US(cm): 210,243,194 | Delta(cm): 0,32,0
TS(ms): 34079 | PIR: 0,0,0,0 | US(cm): -1,243,197 | Delta(cm): 0,32,0
TS(ms): 34343 | PIR: 0,0,0,0 | US(cm): 209,211,197 | Delta(cm): 0,0,0
TS(ms): 34610 | PIR: 0,0,0,0 | US(cm): 209,218,247 | Delta(cm): 0,0,44
TS(ms): 34876 | PIR: 0,0,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
TS(ms): 35140 | PIR: 0,0,0,0 | US(cm): 179,211,246 | Delta(cm): 30,0,43
TS(ms): 35404 | PIR: 0,0,0,0 | US(cm): 209,212,214 | Delta(cm): 0,0,11
TS(ms): 35668 | PIR: 1,0,0,0 | US(cm): 210,211,215 | Delta(cm): 0,0,12
TS(ms): 35934 | PIR: 1,0,0,0 | US(cm): 210,211,247 | Delta(cm): 0,0,44
TS(ms): 36200 | PIR: 0,0,1,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 36466 | PIR: 0,0,1,1 | US(cm): 209,211,248 | Delta(cm): 0,0,45
TS(ms): 36732 | PIR: 0,0,1,1 | US(cm): 210,212,245 | Delta(cm): 0,0,42
TS(ms): 36998 | PIR: 0,0,0,0 | US(cm): 209,212,246 | Delta(cm): 0,0,43
TS(ms): 37264 | PIR: 0,1,0,0 | US(cm): 210,211,246 | Delta(cm): 0,0,43
TS(ms): 37530 | PIR: 0,1,0,0 | US(cm): 209,218,248 | Delta(cm): 0,0,45
TS(ms): 37796 | PIR: 0,1,0,0 | US(cm): 210,210,246 | Delta(cm): 0,0,43
